doctor_id	name	specialization	department_id
163	Nathan Hernandez	ENT Specialist	2
164	Benjamin Martin	Dermatologist	6
165	Christine Norris	Neurologist	3
166	Jonathan Pena	Pediatrician	4
167	Kimberly Rojas	Pediatrician	1
168	Matthew Wright	ENT Specialist	1
169	Shelly Bray	Psychiatrist	1
170	Dylan Edwards	ENT Specialist	8
171	Alex Mack	Dermatologist	5
172	Michael Espinoza	ENT Specialist	5
173	Brandon Kennedy	Oncologist	8
174	Christopher Jones	ENT Specialist	8
175	Mark Miranda	Oncologist	8
176	Stephanie Johnson	Psychiatrist	6
177	Catherine Patton	Neurologist	7
178	David Golden	Cardiologist	4
179	Judy Wilkins	Cardiologist	7
180	Megan Wolf	Psychiatrist	2
181	Jennifer Cohen	Neurologist	2
182	Gabriel Jones	Pediatrician	4
183	Jeremy Chang MD	Pediatrician	4
184	Taylor Stein	Neurologist	3
185	Christina Wilson	Oncologist	5
186	Brad Johnson	Psychiatrist	4
187	Robin Thomas	Dermatologist	3
188	Debbie Jordan	Psychiatrist	5
189	Amy Wilcox	ENT Specialist	5
190	Tamara Reilly	Cardiologist	5
191	William Gonzalez	Dermatologist	1
192	David Mitchell	Orthopedic	6
193	Thomas Davis	Pediatrician	6
194	Jason Bradley	Dermatologist	4
195	Teresa Young	Cardiologist	7
196	Dr. Dominic Buck DDS	Pediatrician	3
197	Shaun Romero	Oncologist	6
198	Debra Schaefer	Neurologist	5
199	Corey Johnson	ENT Specialist	5
200	Jennifer Lucas	Dermatologist	8
201	Elizabeth Allen	Dermatologist	5
202	Troy Mccoy	Pediatrician	8
203	Jennifer Quinn	ENT Specialist	5
204	Catherine Lewis	ENT Specialist	8
205	Marissa Thompson	Cardiologist	1
206	Gloria Hall	Cardiologist	1
207	Nancy Hicks	Cardiologist	6
208	Michael Ferguson	Dermatologist	2
209	Taylor Evans	Neurologist	7
210	Timothy Garza	Neurologist	3
211	Lori Lawson	Cardiologist	6
212	Laurie Hayes	Pediatrician	1
213	Vincent Douglas	Dermatologist	5
214	James Dunn	Oncologist	8
215	Theodore Henderson	Dermatologist	7
216	Kyle Chang	Orthopedic	6
217	Angela Hill	Dermatologist	1
218	Ellen Gibbs	Orthopedic	7
219	John Wagner	ENT Specialist	2
220	Heidi Smith	Pediatrician	2
221	Robert Collier	Dermatologist	4
222	Bryan Obrien	Cardiologist	4
223	Samantha Burnett	Cardiologist	3
224	Heather Gomez	Psychiatrist	5
225	Christy Reyes	Neurologist	3
226	Linda Ellis	Neurologist	7
227	Christine Franco	Cardiologist	7
228	Julie Benitez	Dermatologist	5
229	Richard Logan	Neurologist	6
230	William Glass	Orthopedic	1
231	Erin Reynolds	Pediatrician	3
232	Alvin Villarreal	Orthopedic	5
233	Tiffany Munoz	Dermatologist	8
234	Kathryn Eaton	Dermatologist	5
235	Elizabeth Nielsen MD	Oncologist	2
236	Jason Mcgrath	Orthopedic	1
237	David Schmidt	Orthopedic	7
238	Donald Fisher	Psychiatrist	8
239	Tara Rosales	Pediatrician	5
240	Emily Ward	Neurologist	6
241	Kari Garcia	ENT Specialist	7
242	Joseph Foley	Oncologist	8
243	James Lowe	Psychiatrist	1
244	Kevin Lozano	Pediatrician	3
245	Michael Rush	ENT Specialist	2
246	Andrea Mills	Orthopedic	8
247	Dr. Gregory Jones Jr.	Cardiologist	5
248	Sandra Berry	Psychiatrist	6
249	Matthew Peters	Orthopedic	2
250	Kelly Brooks	Oncologist	4
251	James Davidson	Orthopedic	3
252	Michael Davis	Orthopedic	6
253	Sandra Powell	Orthopedic	1
254	Kevin Brock	ENT Specialist	7
255	Melanie Tate	Oncologist	5
256	Robin Drake	Oncologist	2
257	John Beltran	Psychiatrist	2
258	Michael Ross	ENT Specialist	6
259	Christy Hall	Dermatologist	6
260	Michelle Spencer	Psychiatrist	6
261	Ian Stevens	Dermatologist	6
262	Allison Lang	Orthopedic	4
263	Jorge Smith DDS	Oncologist	1
264	Jonathan Richards	Psychiatrist	8
265	Christopher Fuller	Oncologist	6
266	Jessica Myers	Cardiologist	4
267	Matthew Decker	Neurologist	8
268	Charles Carr	Oncologist	1
269	Caleb Brown	ENT Specialist	7
270	Noah Holmes	Orthopedic	3
271	Victoria Edwards	Oncologist	8
272	Kylie Gonzalez	Psychiatrist	8
273	Timothy Taylor	Psychiatrist	3
274	Tammy Miller	Neurologist	3
275	Tammy Barker	ENT Specialist	5
276	John Elliott	Orthopedic	5
277	Brittany Freeman	Psychiatrist	6
278	David Bond	Cardiologist	3
279	Tiffany Morris	Cardiologist	1
280	Jessica Salinas PhD	Psychiatrist	7
281	Teresa Smith	ENT Specialist	6
282	Elizabeth Blair	Orthopedic	8
283	David Branch	ENT Specialist	7
284	Mariah Hill	ENT Specialist	6
285	Crystal Hale	Psychiatrist	1
286	Rebecca Brown	Neurologist	8
287	Tracy Kirk	Cardiologist	1
288	Sara Henderson	Pediatrician	1
289	Jasmine Kelley	Oncologist	8
290	Tony Hughes	Psychiatrist	7
291	Paul Jackson	ENT Specialist	5
292	Kathryn Lopez	Cardiologist	1
293	Adriana Davis	Pediatrician	1
294	Victoria Ibarra	Orthopedic	1
295	Mrs. Denise Hobbs	ENT Specialist	8
296	Melissa Patel	Dermatologist	8
297	Jacob Baker	Orthopedic	1
298	Kenneth Collins	Oncologist	5
299	Andrea Parker	Neurologist	1
300	Brian Harris	Neurologist	1
301	Brandy Turner	ENT Specialist	7
302	Maria Walters	ENT Specialist	4
303	James Weiss	Pediatrician	2
304	Derrick Rodriguez	Dermatologist	4
305	Eric Perez	ENT Specialist	1
306	Carmen Moore	Pediatrician	7
307	David Dixon	Cardiologist	6
308	Marcia Delgado	ENT Specialist	1
309	Margaret Berry	Psychiatrist	5
310	Lisa Ortiz	Dermatologist	4
311	Janice Carson	Neurologist	6
312	Christine Gay	Pediatrician	1
313	Jose Harvey	ENT Specialist	5
314	Maurice Anderson	Neurologist	3
315	Samantha May	Cardiologist	1
316	Adam Jackson	Cardiologist	5
317	Joshua Miles	Cardiologist	4
318	Bobby Johnson	Psychiatrist	3
319	Jorge Jacobs	Orthopedic	1
320	Monique Owens	Oncologist	6
321	David Miller	Neurologist	8
322	Pamela Spears	Pediatrician	4
323	Peter Ramirez	Cardiologist	2
324	Raymond Ramirez	ENT Specialist	1
325	Michele Walker	Pediatrician	1
326	Jennifer Clarke	Cardiologist	4
327	Frederick Harvey	Orthopedic	7
328	Russell Gordon	Oncologist	7
329	Brandon Robles	Psychiatrist	6
330	Katherine Hoffman	Pediatrician	8
331	James Hanson	Dermatologist	4
332	Elaine Burnett	Psychiatrist	7
333	Mr. Roy Boyd	Orthopedic	1
334	Carla Espinoza	Neurologist	2
335	Veronica Castaneda	Psychiatrist	6
336	Sharon Silva	Pediatrician	7
337	John Lewis	ENT Specialist	4
338	Robert Weber	Pediatrician	4
339	Dillon Mitchell	Orthopedic	7
340	Kristen Rogers	Pediatrician	5
341	Anna Brown	Orthopedic	7
342	Ryan Lucero	Pediatrician	7
343	Jeremy Olson MD	ENT Specialist	4
344	Melissa Nunez	Oncologist	8
345	Derrick Alexander	ENT Specialist	2
346	Paul Garcia	Neurologist	8
347	Lynn Martin	Psychiatrist	6
348	Seth Hale	Psychiatrist	1
349	Joel Pollard	Orthopedic	8
350	Evan Bennett	Psychiatrist	2
351	William Perry	Cardiologist	2
352	Megan Leon	ENT Specialist	8
353	Jamie Thompson	Pediatrician	6
354	Michael Alexander	Oncologist	3
355	Jay Parker	Oncologist	2
356	Casey Thompson	Psychiatrist	4
357	Amber Boone	Oncologist	2
358	Todd Evans	ENT Specialist	1
359	Robert Patterson	Oncologist	2
360	Lindsay Parker	Pediatrician	5
361	Jonathan Dixon	Dermatologist	7
362	Michael Clark	Oncologist	6
363	Ricky Jones	Oncologist	1
364	Alyssa Hall	Dermatologist	2
365	Joseph Jones	Orthopedic	7
366	Vanessa Rodgers	Psychiatrist	2
367	Jamie Hill	Psychiatrist	1
368	Linda Williams	Pediatrician	7
369	Summer Ray	Orthopedic	5
370	Sherry Lee	Neurologist	5
371	Charles Lloyd	Oncologist	1
372	Michael Edwards	Pediatrician	1
373	Kevin Norton	Pediatrician	8
374	Michele Randolph	Oncologist	3
375	Elizabeth Sharp	Psychiatrist	4
376	Derek Ramos	Oncologist	2
377	Roger Williams	Neurologist	1
378	Gary Cannon	Psychiatrist	4
379	Elizabeth Harris	Cardiologist	8
380	Angela Watkins	Psychiatrist	2
381	Megan Stone	ENT Specialist	3
382	Nicole Fleming	Psychiatrist	2
383	Charles Garcia	ENT Specialist	6
384	Stephen Larson	Orthopedic	8
385	Dr. Martin Rice III	Psychiatrist	4
386	Daryl Lopez	Oncologist	7
387	Amy Larson	Neurologist	3
388	Karen Wells	Cardiologist	6
389	Nancy Braun	Dermatologist	3
390	Audrey Ibarra	Dermatologist	7
391	Patrick Velasquez	Neurologist	3
392	Karen Grant	ENT Specialist	6
393	Michael Elliott	Psychiatrist	2
394	Donna Campbell	Dermatologist	8
395	Sandra Walters	Orthopedic	7
396	Devin Young	Cardiologist	6
397	Nicholas Snyder	Pediatrician	1
398	Todd Valenzuela	ENT Specialist	1
399	Jason Alvarez	Psychiatrist	4
400	Laurie Dodson	Dermatologist	1
401	Jeanne Baker	Dermatologist	1
402	Danielle Stevens	Cardiologist	4
403	Erik Larson	Orthopedic	8
404	Ronald Hodges	Dermatologist	4
405	Michael Bowman	Pediatrician	8
406	Michelle Hanson	Cardiologist	2
407	Mrs. Laura Dixon	ENT Specialist	3
408	David Perez	Oncologist	3
409	Daniel Bell	Pediatrician	6
410	Candice Allen	ENT Specialist	7
411	Charles Moore	Neurologist	2
412	Russell Costa	ENT Specialist	3
413	Samantha Miller	Pediatrician	4
414	John Blevins	Neurologist	3
415	Margaret Stevens	Pediatrician	3
416	Susan Palmer MD	Pediatrician	5
417	Jeffrey Copeland	Orthopedic	6
418	Christopher Knox	Oncologist	3
419	Mark Jackson	Neurologist	8
420	Christine Strickland	Orthopedic	5
421	Timothy Morris	Oncologist	2
422	Emily Johnson	Pediatrician	3
423	Matthew Ford	Neurologist	5
424	Michael Williamson	Pediatrician	8
425	Monica Meyers	Cardiologist	2
426	Lisa Wells	Oncologist	6
427	Joseph Bradley	Cardiologist	2
428	Sandra Burch	Dermatologist	2
429	Briana Williams	Psychiatrist	3
430	Laura Harper	Orthopedic	8
431	Chad Moody	Dermatologist	2
432	Jonathan Jackson	Pediatrician	4
433	Seth Murphy	Orthopedic	1
434	James Rodriguez	Neurologist	3
435	Andrew Chapman	ENT Specialist	3
436	Steven Bentley	Pediatrician	3
437	Ashley Webb	Cardiologist	7
438	Samuel Conley	Neurologist	7
439	Michael Kennedy	Dermatologist	2
440	Denise Martinez	Cardiologist	8
441	David White	Neurologist	8
442	Pamela Green	Dermatologist	5
443	John Reed	Neurologist	1
444	Sarah Contreras	ENT Specialist	1
445	April Sanchez	Psychiatrist	5
446	Brent Morton	Dermatologist	2
447	Tim Krueger	Dermatologist	6
448	Timothy Brown	ENT Specialist	4
449	Shawna Beasley	Neurologist	5
450	Jeffrey Novak	Pediatrician	2
451	Tracy Hodges	Psychiatrist	2
452	Aaron Payne	Neurologist	4
453	Vanessa Edwards	Cardiologist	5
454	Janet Williams	Psychiatrist	2
455	Rachel Wilson	Pediatrician	2
456	Brian Odom	Oncologist	5
457	Lawrence Morris	Oncologist	3
458	Ana Rodriguez	Pediatrician	2
459	Loretta Scott	Cardiologist	4
460	Robert Frye	Psychiatrist	7
461	Tabitha Gibson	Cardiologist	6
462	Christopher Bolton	Dermatologist	3
463	Raymond Koch	Oncologist	1
464	Alyssa Mckenzie	ENT Specialist	4
465	Sabrina Becker	Cardiologist	6
466	Rebecca Moreno	Pediatrician	8
467	Alexander Koch	Oncologist	7
468	David Nielsen	Neurologist	1
469	Jennifer Hoover	Psychiatrist	2
470	Brianna Campos PhD	ENT Specialist	5
471	Jose Butler	Orthopedic	3
472	Jessica Clark	Orthopedic	5
473	Alicia Warner	Oncologist	2
474	Anna Holden	Oncologist	8
475	Megan Matthews	Dermatologist	1
476	Darrell Jackson	Orthopedic	2
477	Devin Shepard	Dermatologist	2
478	Wayne Barrett	Orthopedic	8
479	Ms. Susan Williams	Pediatrician	3
480	Christopher Curry	Pediatrician	5
481	John Howell	Dermatologist	5
482	Jenny Martinez	Pediatrician	2
483	Vanessa Sanchez	Orthopedic	6
484	Philip Conley	ENT Specialist	2
485	Sylvia Brown	Orthopedic	5
486	Bonnie Marshall	Cardiologist	4
487	Anthony Davis	ENT Specialist	1
488	Joseph Bentley	ENT Specialist	6
489	Nathan Martin	Cardiologist	3
490	Laura Weeks	Psychiatrist	6
491	Angel Decker	Cardiologist	4
492	Michael Jackson	Dermatologist	7
493	Tami Quinn	Neurologist	7
494	Stephanie Sanders	Pediatrician	7
495	Danielle Melton	ENT Specialist	5
496	Pamela Holt	Orthopedic	3
497	Billy Williams	Neurologist	2
498	Grace Hall	Cardiologist	3
499	Leon Clayton	ENT Specialist	5
500	Jennifer Russell	Pediatrician	4
501	Jody Smith	Orthopedic	7
502	Jeffrey Wood	Pediatrician	4
503	Jackson Scott	Pediatrician	1
504	Jason Hunt	Neurologist	7
505	Jennifer Callahan	Dermatologist	5
506	John Fernandez	Cardiologist	6
507	Caitlin Bradley	Psychiatrist	6
508	Jennifer Bartlett	ENT Specialist	6
509	Sarah Scott	ENT Specialist	5
510	Logan Chavez	ENT Specialist	8
511	Pamela Zimmerman	ENT Specialist	3
512	Wendy Bruce	Dermatologist	3
513	Mario Curry	Neurologist	3
514	Betty Lewis	ENT Specialist	5
515	Gary Wilson	Neurologist	8
516	Christopher Woods	ENT Specialist	4
517	Mary Macdonald	ENT Specialist	8
518	Steven Hudson	Dermatologist	2
519	Robert Garcia	Dermatologist	8
520	Evan Clark	Pediatrician	6
521	Michael Meadows	Pediatrician	3
522	Logan Armstrong	Psychiatrist	3
523	Todd Allen	Cardiologist	7
524	Michael Chandler	Orthopedic	8
525	Amber Williams	Cardiologist	2
526	Randall Stuart	Pediatrician	7
527	Joel Powell	Psychiatrist	4
528	Michael Payne	ENT Specialist	8
529	Suzanne Burns	Psychiatrist	1
530	Jeffrey Bruce	Neurologist	1
531	Jacob Blankenship	Pediatrician	6
532	Travis Mills	Cardiologist	6
533	Steven Taylor	Pediatrician	4
534	Michael Stewart	Psychiatrist	1
535	Mathew Miller	Pediatrician	4
536	Samantha Holland	Cardiologist	4
537	Mr. Bill Campbell MD	Neurologist	6
538	Anthony Arellano	Dermatologist	5
539	Michael Zimmerman	Cardiologist	4
540	Brandon Sanchez	Oncologist	3
541	Melissa Richard	Neurologist	6
542	Ryan Butler	Psychiatrist	6
543	Patrick Michael	Neurologist	1
544	Shannon Scott	Oncologist	5
545	Jonathan Kim	Cardiologist	2
546	Victoria Vega	Orthopedic	1
547	Troy Wright	Dermatologist	7
548	Zachary Williams	Dermatologist	2
549	Christopher Hartman	Psychiatrist	4
550	Denise Smith	Oncologist	8
551	Randy Wang	Dermatologist	7
552	Megan Thomas	Neurologist	2
553	Sandra Gates	Pediatrician	8
554	Carolyn Williams	Cardiologist	5
555	John Harris	ENT Specialist	7
556	Jonathan Harris	ENT Specialist	1
557	Tiffany Cummings	Oncologist	3
558	Keith Tyler	Cardiologist	5
559	Ashley Carey	Neurologist	1
560	Michael Ayala	ENT Specialist	7
561	Robin Garcia	ENT Specialist	5
562	Katie Woods	Oncologist	8
563	Devon House	ENT Specialist	4
564	Richard Johnson	Cardiologist	7
565	Patrick Mccormick	Pediatrician	2
566	Jesse Williams	Oncologist	6
567	Isaiah Moore	Dermatologist	1
568	Mary Edwards	Pediatrician	4
569	Kathleen Vasquez DDS	ENT Specialist	7
570	Michelle Dickson	Dermatologist	8
571	Kelly Schroeder	ENT Specialist	4
572	Sarah Gaines	Neurologist	7
573	Mr. Jonathan Andrews	Dermatologist	2
574	Samantha Cole	Neurologist	6
575	Teresa Foster	Cardiologist	2
576	Kevin Beasley	Cardiologist	6
577	Joseph Richards	Cardiologist	2
578	Timothy Johnson MD	Orthopedic	1
579	Amanda Robertson	Orthopedic	4
580	Jasmine Brewer	Dermatologist	5
581	Crystal Horne	Dermatologist	8
582	Susan Woods	Psychiatrist	6
583	Douglas Wood	ENT Specialist	6
584	Christopher Brown	Pediatrician	4
585	Russell Warner	Neurologist	3
586	Marcus Pacheco	Cardiologist	1
587	Danielle Thompson	Oncologist	6
588	Dr. Charles Henderson	Cardiologist	2
589	Tracy Small	Orthopedic	1
590	Brittany Douglas	Neurologist	3
591	Leslie Fernandez	ENT Specialist	1
592	Brandon Church	Oncologist	1
593	Mary Beck	Psychiatrist	7
594	Joseph Jones	Psychiatrist	1
595	Michael Schmidt	Cardiologist	4
596	Brianna Petersen	Cardiologist	1
597	Stacy Watson	Dermatologist	6
598	Jacob Martinez	Cardiologist	5
599	Luke Porter	Neurologist	2
600	Lauren Robertson	Dermatologist	2
601	John Hicks	Neurologist	6
602	Sarah Rivera	Psychiatrist	4
603	Dr. Sheila Flores DDS	Psychiatrist	7
604	Wyatt Jensen	Cardiologist	7
605	Kyle Hunter	Oncologist	7
606	Melvin Lyons	Dermatologist	8
607	Caroline Moyer	Oncologist	4
608	Lynn Hernandez	ENT Specialist	6
609	Jade Jackson	Neurologist	6
610	Benjamin Vasquez	Dermatologist	1
611	Steven Johnson	Orthopedic	5
612	Frank Avery	Oncologist	8
613	Ashley Johnson	Dermatologist	2
614	Denise Horne	Cardiologist	6
615	Nicole Johnston	Neurologist	4
616	Sherry Gross	Cardiologist	5
617	Christopher Perez	Dermatologist	7
618	Samantha Chan	Dermatologist	1
619	Christina Fields	Psychiatrist	5
620	Tiffany Webb	Oncologist	8
621	Dustin Johnston	ENT Specialist	1
622	Adrienne Gregory	ENT Specialist	4
623	Troy Patterson	Pediatrician	2
624	Dr. David Williams	Neurologist	4
625	Jennifer Moore	Pediatrician	3
626	Gabriela Campbell	ENT Specialist	3
627	Danielle Ramirez	Cardiologist	2
628	Adam Fletcher	Neurologist	8
629	David Gonzalez	Psychiatrist	6
630	Luke Gilbert	Orthopedic	2
631	Nicole Ochoa	ENT Specialist	7
632	Jesus Weber	ENT Specialist	8
633	Jeffrey Martinez	Pediatrician	6
634	Brandy Caldwell	Neurologist	7
635	George Castillo	ENT Specialist	8
636	Amy Wilkins	Pediatrician	4
637	Darius Wheeler	Pediatrician	8
638	Jessica Shah	Pediatrician	1
639	Jacqueline Howard	Psychiatrist	6
640	Alicia Goodwin	Psychiatrist	2
641	Amanda Adams	Psychiatrist	6
642	Michael Bartlett	Psychiatrist	2
643	Jennifer Jackson	Dermatologist	2
644	Kimberly Blair	Pediatrician	1
645	Diane Murphy	Neurologist	1
646	Jason Petersen	Pediatrician	1
647	Justin Taylor	Orthopedic	7
648	Kenneth Armstrong	Oncologist	8
649	Kevin Green	ENT Specialist	6
650	Rachel Martinez	Oncologist	6
651	Heidi Reynolds	ENT Specialist	6
652	Mary Eaton	Cardiologist	5
653	Krista Campbell	Orthopedic	8
654	Nicholas Henry	Psychiatrist	1
655	Julia Thomas	Dermatologist	5
656	Eric Flores	Pediatrician	3
657	Alan Vincent	Neurologist	2
658	Jesse Richards	Pediatrician	4
659	Tyler Johns	Orthopedic	3
660	Richard Wilcox	Psychiatrist	8
661	Cynthia Johnson	Cardiologist	1
662	Darrell Hutchinson	Neurologist	8
663	Jessica Clark	Pediatrician	8
664	Rhonda Jones	Pediatrician	2
665	Maria Shaffer	Pediatrician	6
666	Evan Brown	Orthopedic	7
667	Kevin Rivera	Neurologist	1
668	Dylan Davis	Psychiatrist	1
669	Kendra Bailey	Psychiatrist	7
670	Michael Smith	ENT Specialist	8
671	Ryan Patterson	Cardiologist	3
672	Karen Tran	Dermatologist	1
673	Mary Roberson	Dermatologist	4
674	Adam Allen DDS	Pediatrician	6
675	William Shepherd	Psychiatrist	6
676	Nancy Frost	Neurologist	5
677	Charles Wallace	Neurologist	5
678	John Green	Neurologist	6
679	Margaret Harris	Dermatologist	2
680	Randy Sullivan	Cardiologist	5
681	Lauren Yates	ENT Specialist	6
682	Melissa Wright	Cardiologist	6
683	Samantha Ayers	Pediatrician	2
684	Diana Webb	Psychiatrist	8
685	Christian Meadows	Oncologist	6
686	Jennifer Guzman	Pediatrician	4
687	Mark Anderson	Pediatrician	1
688	Christopher Frey	Orthopedic	8
689	James Castaneda	Psychiatrist	1
690	Gregory Harris	Psychiatrist	6
691	Mark Wallace	Psychiatrist	2
692	Amanda Roberson	Pediatrician	7
693	Molly Williams	Oncologist	7
694	Molly Gaines	Pediatrician	7
695	Jenny Estrada	ENT Specialist	7
696	Rodney Mata	ENT Specialist	8
697	Kevin Alvarez	Dermatologist	2
698	Derek Boyd	Psychiatrist	2
699	Monique Barrett	Psychiatrist	2
700	Dana Lopez	Neurologist	4
701	Dennis Khan	Dermatologist	1
702	Amanda Burgess	Psychiatrist	5
703	Jon Campbell	Psychiatrist	4
704	Sergio Gibson	Oncologist	4
705	Jeffrey Gilbert	Dermatologist	2
706	Theresa Wolf	Neurologist	3
707	Katherine Barker	Neurologist	5
708	Joseph Williams	Dermatologist	7
709	Jay Young	Orthopedic	1
710	Joseph Herman	Neurologist	6
711	Roger Waters	Oncologist	1
712	Daniel Hansen	Neurologist	5
713	Kristin Bailey	Pediatrician	3
714	Jason Ray	Pediatrician	3
715	Marco Montoya	Psychiatrist	6
716	Jackie Salazar	Dermatologist	8
717	Hunter Hall MD	Oncologist	4
718	Debra Jackson	Dermatologist	3
719	Toni Fisher	ENT Specialist	1
720	Brent Boyd	ENT Specialist	2
721	Hannah Cook	ENT Specialist	5
722	Kristina Webster	Neurologist	5
723	Alexander Hayes	ENT Specialist	8
724	Jessica Fields	Psychiatrist	5
725	Diana Nguyen	ENT Specialist	6
726	Richard Brown	Neurologist	6
727	Jaime Miller	Orthopedic	3
728	Amy Young	Orthopedic	2
729	Alexander Russell	Pediatrician	8
730	Christy Mayo	Orthopedic	8
731	Donna Bruce	Pediatrician	5
732	Rhonda Daniel	Dermatologist	8
733	Cory Mitchell	Dermatologist	2
734	Erica Morales	Neurologist	4
735	James Kerr	Neurologist	2
736	Courtney Gonzales	Neurologist	7
737	Kathryn Reynolds	Pediatrician	5
738	Ariel Turner	Dermatologist	5
739	Katelyn Miller	Psychiatrist	6
740	Jennifer Dixon	Pediatrician	8
741	Karen Spencer	Cardiologist	2
742	Richard Wheeler	Psychiatrist	6
743	Greg Gomez	Dermatologist	6
744	Ashley Jones	Cardiologist	2
745	Tiffany Jenkins	Neurologist	4
746	Maria Thomas	ENT Specialist	5
747	Joshua Proctor	Dermatologist	6
748	Brent Barr	Psychiatrist	4
749	Taylor Ramos	Psychiatrist	5
750	Linda Harmon	Dermatologist	2
751	Robert Williams	Orthopedic	7
752	Catherine Bowman	Psychiatrist	1
753	Eric Scott	Oncologist	6
754	Lisa Garrett	ENT Specialist	6
755	Julian Harris	Dermatologist	1
756	Terry Morse	Oncologist	8
757	Carlos Hudson	Pediatrician	2
758	Brittany Hicks	Psychiatrist	4
759	Zachary Mcintosh	ENT Specialist	5
760	Debra Oconnell	Psychiatrist	1
761	Christopher Barber	ENT Specialist	4
762	Beverly Morris	ENT Specialist	5
763	Megan Snyder	Neurologist	3
764	Richard Lewis	Dermatologist	6
765	Justin Williams	ENT Specialist	6
766	Todd Ramirez	Oncologist	1
767	David Ramos	Psychiatrist	6
768	Donald Hill	Oncologist	6
769	Christopher Ferguson	Neurologist	2
770	Rebekah Hall	Cardiologist	3
771	Kimberly Hall	Dermatologist	4
772	Anthony Weaver	Pediatrician	7
773	Patricia Taylor	Cardiologist	1
774	Rebecca Miller DDS	Psychiatrist	2
775	Joseph Gibson	Orthopedic	3
776	Jessica Harper	Dermatologist	7
777	Tracy Robinson	Dermatologist	8
778	Erin Gray	Cardiologist	2
779	Michael Ford	Pediatrician	4
780	Steven Daniels	Pediatrician	4
781	Kiara Nicholson	Cardiologist	5
782	Connor Martinez	Dermatologist	2
783	Margaret Garrett	Oncologist	2
784	Ryan Williams	Cardiologist	5
785	Andrew Petersen	Orthopedic	3
786	Aaron Ward	Dermatologist	8
787	Timothy Roberts	Psychiatrist	5
788	Daniel Spears	Psychiatrist	2
789	Casey Browning	Neurologist	3
790	Debra Brown	Cardiologist	6
791	Janet West	Oncologist	1
792	Carmen White	Pediatrician	3
793	Stephen Herring	Pediatrician	1
794	Keith Graves	Neurologist	6
795	Debra Stuart	Psychiatrist	2
796	Alyssa Harris	Psychiatrist	8
797	Bryan Mason	ENT Specialist	2
798	Mrs. Emily Day	ENT Specialist	3
799	Jade Smith	Dermatologist	1
800	Susan Simpson	Pediatrician	8
801	Mr. Ryan Mercer	Pediatrician	3
802	Brett Martinez	Psychiatrist	1
803	Joe Smith	Oncologist	6
804	Tony Lopez	Orthopedic	2
805	Lisa Fitzgerald	Orthopedic	5
806	Stacey Washington	ENT Specialist	2
807	Mr. Bradley Gutierrez	Psychiatrist	7
808	Joseph Vargas	Neurologist	1
809	Michael Taylor	Pediatrician	1
810	Michael Jones	Oncologist	5
811	Destiny Stevens	Orthopedic	8
812	William Zavala	Neurologist	6
813	Cindy White	ENT Specialist	7
814	Carl Garza	Pediatrician	2
815	Amber Clark	Orthopedic	2
816	Joshua Romero	ENT Specialist	8
817	Marie Lawson	Oncologist	5
818	Patricia Wright	Oncologist	6
